,Indicator,Pollutant,Statistic,Year,Site,Value,Data Source,Exceedances,Threshold Value,Percent of Threshold Value,Beta,Percent_Change,Trend
0,CO - 2ND HIGH 8 HR,CO,2nd High 8 Hr,2012,Tahoe City,6.5,EPA Air Data,0.0,,,,,
1,CO - HIGH 1 HR,CO,HIGH 1 HR,2019,Tahoe City,29.1,TRPA/DRI,1.0,,,,,
2,CO - HIGH 8 HR,CO,HIGH 8 HR,2019,Tahoe City,8.8,TRPA/DRI,1.0,6.0,1.4666666666666668,-4.175609906034813,-69.59349843391355,Rapid Improvement
3,NO2 - 98% 1 HR,NO2,98% 1 Hr,2018,Stateline TRPA,24.501612903225844,TRPA/DRI,0.0,,,,,
4,NO2 - ANNUAL AVG.,NO2,ANNUAL AVG.,2018,Stateline TRPA,6.255256938042741,TRPA/DRI,0.0,,,,,
5,NO2 - HIGH 1 HR,NO2,HIGH 1 HR,2018,Stateline TRPA,38.1,TRPA/DRI,0.0,,,,,
6,O3 - 3 YR AVG. 4TH HIGH 8 HR,O3,3 YR AVG. 4TH HIGH 8 HR,2019,Tahoe City,3.1834880247894493,TRPA/DRI,0.0,,,,,
7,O3 - HIGH 1 HR,O3,HIGH 1 HR,2019,Tahoe City,0.1,TRPA/DRI,3.0,0.08,1.25,-0.0005085079393957878,-0.6356349242447347,Moderate Improvement
8,O3 - HIGH 8 HR,O3,HIGH 8 HR,2019,Tahoe City,0.095,TRPA/DRI,31.0,,,,,
9,PM10 - ANNUAL AVG.,PM10,ANNUAL AVG.,2019,Stateline TRPA,28.1,Views,1.0,50.0,1.35,-0.3467712989068791,-0.6935425978137582,Moderate Improvement
10,PM10 - HIGH 24 HR,PM10,HIGH 24 HR,2019,Stateline TRPA,189.79166666666666,Views,10.0,150.0,2.786,0.8324002436839818,0.5549334957893213,Moderate Decline
11,PM2.5 - 3 YR AVG. 98% 24 HR,PM2.5,3 Yr Avg. 98% 24 Hr,2018,Tahoe City,35.7,EPA/PCAPCD,1.0,,,,,
12,PM2.5 - ANNUAL AVG.,PM2.5,ANNUAL AVG.,2019,Tahoe City,9.6,VIEWS,0.0,15.0,0.7999999999999999,-0.10188799072774929,-0.6792532715183286,Moderate Improvement
13,PM2.5 - HIGH 24 HR,PM2.5,HIGH 24 HR,2019,Tahoe City,146.0,VIEWS,9.0,35.0,4.171428571428572,1.569664929972367,4.4847569427781915,Rapid Decline
14,"3-year mean (""Average Days"", 50th Percentile)",Sub-Regional Visibility,"3-year mean (""Average Days"", 50th Percentile)",2018,SOLA,50.587363333333336,IMPROVE,,50.0,1.8291526133333336,,,
15,"3-year mean (""Worst Days"", 90th Percentile)",Sub-Regional Visibility,"3-year mean (""Worst Days"", 90th Percentile)",2018,SOLA,153.48840099999998,IMPROVE,,125.0,1.2279072079999998,,,
