Vegetation Type,Moderate Severity Early Seral,Moderate Severity Mid Seral,Moderate Severity Late Seral,High Severity Early Seral,High Severity Mid Seral,High Severity Late Seral,Moderate N/A,High N/A
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1
Cushion Plant,0.0,0.0,0.0,0.0,0.0,0.0,10.6,20.6
Deciduous Riparian,0.0,0.0,0.0,0.0,0.0,0.0,6.2,13.8
Meadow,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.8
Red Fir Forest,24.5,111.5,4.3999999999999995,52.2,657.0,12.7,0.0,0.0
Sagebrush Scrub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrub,0.0,0.0,0.0,0.0,0.0,0.0,42.9,112.7
Subalpine Forest,0.0,0.0,0.0,0.0,0.0,0.0,91.9,231.2
Water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wetland,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.9
Yellow Pine Forest,137.2,718.7,15.6,467.8,3119.8999999999996,77.0,0.0,0.0
