Vegetation Type,Early Seral Closed,Early Seral Open,Late Seral Closed,Late Seral Open,Mid Seral Closed,Mid Seral Open,N/A
,0.0,0.0,0.0,0.0,0.0,0.0,859.5
Cushion Plant,0.0,0.0,0.0,0.0,0.0,0.0,4301.4
Deciduous Riparian,0.0,0.0,0.0,0.0,0.0,0.0,2228.0
Meadow,0.0,0.0,0.0,0.0,0.0,0.0,2241.6
Red Fir Forest,53.6,7314.9,437.4,384.7,6026.0,17340.0,0.0
Sagebrush Scrub,0.0,0.0,0.0,0.0,0.0,0.0,1057.5
Shrub,0.0,0.0,0.0,0.0,0.0,0.0,7537.7
Subalpine Forest,0.0,0.0,0.0,0.0,0.0,0.0,18910.5
Water,0.0,0.0,0.0,0.0,0.0,0.0,3876.7
Wetland,0.0,0.0,0.0,0.0,0.0,0.0,1322.4
Yellow Pine Forest,995.8,15789.1,1284.0,790.0,32734.3,45910.9,0.0
