Land Capability,Acres of Hard Surface 2019,Acres of Soft Surface 2019,Acres of Coverage 2019,Percent Hard 2019,Percent Soft 2019,Percent Impervious 2019,Total Acres,Threshold Value,Threshold Acres,SqFt,Acres of New Coverage,Acres of Coverage 2023
1A,85.44960835,125.228546455,210.67815480500002,0.35653134448548235,0.5225056369209659,0.8790369814064484,23966.92736043,1%,239.6692736043,-2744.0,-0.06299357208448117,210.61516123291554
1B,715.56883602,83.354519375,798.923355395,6.274299650750015,0.7308748026421602,7.005174453392176,11404.76030555,1%,114.0476030555,-69744.0,-1.6011019283746557,797.3222534666254
1C,279.40427704,215.132904315,494.53718135500003,0.5200579298318658,0.4004289914315041,0.92048692126337,53725.60651663,1%,537.2560651663,0.0,0.0,494.53718135500003
2,158.12069197,146.752606385,304.873298355,0.6801033445797564,0.6312073213490063,1.3113106659287623,23249.509538539998,1%,232.4950953854,0.0,0.0,304.873298355
3,206.54428258,175.1717882,381.71607078,1.1672579252544066,0.9899603876870305,2.1572183129414375,17694.8280334,5%,884.7414016700001,0.0,0.0,381.71607078
4,991.29700674,330.394861535,1321.6918682750002,3.1522321455914724,1.0506248845579667,4.202857030149439,31447.46201914,20%,6289.4924038280005,54280.80645255,1.2461158506095042,1322.9379841256098
5,971.45964288,163.2590678,1134.71871068,7.970998272059411,1.3395695404019767,9.310567812461388,12187.42759342,25%,3046.856898355,-24803.93010736,-0.5694198830890725,1134.149290796911
6,1966.81675198,312.935777275,2279.752529255,8.477661822234877,1.3488616512671647,9.826523473502043,23199.99067221,30%,6959.997201662999,308022.36559433,7.071220514103077,2286.823749769103
7,1217.38305621,112.611433955,1329.994490165,24.27433159470526,2.245445486722281,26.519777081427538,5015.10433546,30%,1504.531300638,915907.5645136,21.026344456235076,1351.020834621235
,2.46408988,0.8933031,3.35739298,0.0019484881573662782,0.0007063827198091428,0.002654870877175421,126461.62978638,0%,0.0,,,
